Time, Amplitude
0.000000000000000000e+00,1.495474450496975249e+00
1.000500250125062503e-02,1.907553116284939065e+00
2.001000500250125005e-02,7.017319280149537652e-01
3.001500750375187682e-02,-3.768206214269449461e-01
4.002001000500250011e-02,9.377090302729662596e-02
5.002501250625312340e-02,1.291573629280316826e+00
6.003001500750375363e-02,1.359101178442439828e+00
7.003501750875437692e-02,4.592760560596739761e-02
8.004002001000500022e-02,-8.928727427187045373e-01
9.004502251125562351e-02,-1.087019716226104160e-01
1.000500250125062468e-01,1.452677971434913395e+00
1.100550275137568701e-01,1.810601063225541818e+00
1.200600300150075073e-01,6.349345396597286806e-01
1.300650325162581167e-01,-3.356923589619347226e-01
1.400700350175087538e-01,2.922023203781871636e-01
1.500750375187593633e-01,1.660536623301488213e+00
1.600800400200100004e-01,1.885626727732672592e+00
1.700850425212606376e-01,7.010025558846733063e-01
1.800900450225112470e-01,-1.579441675953225932e-01
1.900950475237618842e-01,6.291770308837605352e-01
2.001000500250124936e-01,2.094109052947059624e+00
2.101050525262631308e-01,2.255803991504420125e+00
2.201100550275137402e-01,8.034580519934452214e-01
2.301150575287643774e-01,-5.026181229082579138e-01
2.401200600300150145e-01,-2.539316746868793273e-01
2.501250625312656517e-01,7.096910095164529197e-01
2.601300650325162334e-01,5.383687328299555652e-01
2.701350675337668705e-01,-9.908501777208894579e-01
2.801400700350175077e-01,-2.109065470414172694e+00
2.901450725362681449e-01,-1.482506268280295636e+00
3.001500750375187265e-01,-7.607878718099925219e-02
3.101550775387693637e-01,1.361581726435191486e-01
3.201600800400200009e-01,-1.149368315499823323e+00
3.301650825412706380e-01,-2.181252876794825823e+00
3.401700850425212752e-01,-1.582185215309207749e+00
3.501750875437718569e-01,-2.311555545637581366e-01
3.601800900450224940e-01,-7.529338494200787935e-03
3.701850925462731312e-01,-1.154015660080752070e+00
3.801900950475237684e-01,-1.925509369540446825e+00
3.901950975487743500e-01,-1.020708143908569010e+00
4.002001000500249872e-01,5.687853015052463101e-01
4.102051025512756244e-01,8.643490204479605810e-01
4.202101050525262615e-01,-4.225721799175090609e-01
4.302151075537768987e-01,-1.523302400560445857e+00
4.402201100550274804e-01,-1.049778835366947938e+00
4.502251125562781175e-01,1.333664169735443439e-01
4.602301150575287547e-01,1.769932913663055940e-01
4.702351175587793919e-01,-1.121497990907829534e+00
4.802401200600300291e-01,-1.986708345720986202e+00
4.902451225612806107e-01,-1.106730940871614832e+00
5.002501250625313034e-01,5.280404856215433762e-01
5.102551275637818851e-01,9.444059513902218761e-01
5.202601300650324667e-01,-1.401266796526223213e-01
5.302651325662831594e-01,-9.665575917601159084e-01
5.402701350675337411e-01,-1.781710338396833571e-01
5.502751375687843227e-01,1.321832925453287899e+00
5.602801400700350154e-01,1.656080461759566580e+00
5.702851425712855971e-01,6.038938627005374649e-01
5.802901450725362897e-01,-8.106964625215185016e-02
5.902951475737868714e-01,8.832095515976600142e-01
6.003001500750374531e-01,2.482849138490878182e+00
6.103051525762881457e-01,2.743761474485269858e+00
6.203101550775387274e-01,1.402341593853093427e+00
6.303151575787894201e-01,2.388270436088955062e-01
6.403201600800400017e-01,6.248720922179729076e-01
6.503251625812905834e-01,1.676112867601316836e+00
6.603301650825412761e-01,1.549995774474359767e+00
6.703351675837918577e-01,7.038349914532476825e-02
6.803401700850425504e-01,-9.746002540159940386e-01
6.903451725862931321e-01,-2.882886081369600006e-01
7.003501750875437137e-01,1.120643792837155317e+00
7.103551775887944064e-01,1.287327431494956098e+00
7.203601800900449881e-01,-4.244558517434607325e-02
7.303651825912956808e-01,-1.095312695188032093e+00
7.403701850925462624e-01,-5.285444390340389154e-01
7.503751875937968441e-01,7.370819896057720921e-01
7.603801900950475368e-01,8.325335949799835822e-01
7.703851925962981184e-01,-4.352839074452485302e-01
7.803901950975487001e-01,-1.299544924947702240e+00
7.903951975987993928e-01,-4.935224163902084404e-01
8.004002001000499744e-01,9.502095177397997805e-01
8.104052026013006671e-01,1.065020350923319814e+00
8.204102051025512488e-01,-3.859477752110211934e-01
8.304152076038018304e-01,-1.610303675900454756e+00
8.404202101050525231e-01,-1.253040790754962108e+00
8.504252126063031048e-01,-2.190344031724263951e-01
8.604302151075537974e-01,-3.457650021107891991e-01
8.704352176088043791e-01,-1.785543518251043293e+00
8.804402201100549608e-01,-2.741287104788574069e+00
8.904452226113056534e-01,-1.936020670056595172e+00
9.004502251125562351e-01,-4.014827605781978725e-01
9.104552276138069278e-01,-9.945945212038020955e-02
9.204602301150575094e-01,-1.261916861681433577e+00
9.304652326163080911e-01,-2.107920168155741791e+00
9.404702351175587838e-01,-1.315773342595144779e+00
9.504752376188093654e-01,1.692617021761704255e-01
9.604802401200600581e-01,4.796258990996862259e-01
9.704852426213106398e-01,-5.573217909553719318e-01
9.804902451225612214e-01,-1.168913996067218353e+00
9.904952476238119141e-01,-1.107389116664636020e-01
1.000500250125062607e+00,1.559612635911366452e+00
1.010505252626313188e+00,1.877229173268724072e+00
1.020510255127563770e+00,6.265256408842743152e-01
1.030515257628814352e+00,-3.931225981075042730e-01
1.040520260130064933e+00,1.522455798018774731e-01
1.050525262631315737e+00,1.333969909249660635e+00
1.060530265132566319e+00,1.317335098604293986e+00
1.070535267633816900e+00,-2.786102474182092226e-02
1.080540270135067482e+00,-8.967197204653378773e-01
1.090545272636318064e+00,-3.212273388646103012e-02
1.100550275137568645e+00,1.512224210497661758e+00
1.110555277638819449e+00,1.779746696833597985e+00
1.120560280140070031e+00,5.634333430336619930e-01
1.130565282641320612e+00,-3.449965848055116524e-01
1.140570285142571194e+00,3.591665552997728161e-01
1.150575287643821776e+00,1.711275156640532202e+00
1.160580290145072579e+00,1.851102104251382885e+00
1.170585292646323161e+00,6.325728740338687484e-01
1.180590295147573743e+00,-1.595717841472790166e-01
1.190595297648824324e+00,7.034030662429414660e-01
1.200600300150074906e+00,2.146109188587632666e+00
1.210605302651325710e+00,2.212825188931145437e+00
1.220610305152576291e+00,7.164310142407946946e-01
1.230615307653826873e+00,-5.299539833950015488e-01
1.240620310155077455e+00,-2.068060041725438003e-01
1.250625312656328036e+00,7.400608475023655597e-01
