Frequency, Intensity
-3.500000000000000000e+00,-4.703200306557455551e-02
-3.459919839679358233e+00,-1.551323329045442394e-02
-3.419839679358718243e+00,-9.640656378257408954e-03
-3.379759519038076476e+00,2.652867145873966798e-02
-3.339679358717434710e+00,-9.145430673033004554e-02
-3.299599198396792943e+00,-2.936909831635892837e-02
-3.259519038076152952e+00,-8.717830816185871690e-03
-3.219438877755511186e+00,1.981722051459124112e-02
-3.179358717434869419e+00,1.538610521385893638e-02
-3.139278557114227652e+00,2.108677807083246883e-02
-3.099198396793587662e+00,-2.747413923887401938e-02
-3.059118236472945895e+00,7.351157124910114027e-02
-3.019038076152304129e+00,4.474353702374085640e-02
-2.978957915831664138e+00,1.292501073666107829e-02
-2.938877755511022372e+00,1.778854049248401042e-02
-2.898797595190380605e+00,-8.635578981805169807e-02
-2.858717434869738838e+00,-3.680475716784863821e-02
-2.818637274549098848e+00,6.819328373318453429e-02
-2.778557114228457081e+00,7.796689894601936677e-02
-2.738476953907815314e+00,-4.552321737083744879e-02
-2.698396793587175324e+00,2.192345208019576969e-02
-2.658316633266533557e+00,-1.171464284284731427e-01
-2.618236472945891791e+00,-2.736732777758861881e-02
-2.578156312625250024e+00,7.137824695542800690e-02
-2.538076152304610034e+00,7.255331719173975513e-02
-2.497995991983968267e+00,7.900103876455030760e-02
-2.457915831663326500e+00,-4.845698545155182474e-02
-2.417835671342684734e+00,-7.331657804684299506e-02
-2.377755511022044743e+00,4.091064244759866353e-02
-2.337675350701402976e+00,3.225809386057214290e-02
-2.297595190380761210e+00,-1.034473491383272603e-01
-2.257515030060119443e+00,2.774131300008102555e-02
-2.217434869739479453e+00,-2.175106284293412337e-02
-2.177354709418837686e+00,-6.042369603013772461e-02
-2.137274549098195919e+00,1.360070861936985183e-02
-2.097194388777555929e+00,7.414617394928650629e-02
-2.057114228456914162e+00,3.768239513028572019e-02
-2.017034068136272396e+00,1.763276954411104394e-02
-1.976953907815630629e+00,-2.049568153241858315e-02
-1.936873747494990639e+00,-4.978830805352117694e-02
-1.896793587174348872e+00,-2.622357271927570552e-02
-1.856713426853707105e+00,-4.177541277985959839e-02
-1.816633266533067115e+00,2.386879540634984434e-03
-1.776553106212425348e+00,-2.535890731605984841e-02
-1.736472945891783581e+00,-1.761309846388055614e-02
-1.696392785571141815e+00,-3.626581779246279558e-02
-1.656312625250501824e+00,-1.165984882822142243e-01
-1.616232464929860058e+00,3.997238151533197281e-02
-1.576152304609218291e+00,9.664628211849930761e-02
-1.536072144288576524e+00,-6.164953239380716737e-02
-1.495991983967936534e+00,-6.414709371697908946e-02
-1.455911823647294767e+00,-2.506255087142481019e-02
-1.415831663326653000e+00,-4.705038924036457348e-02
-1.375751503006012122e+00,-1.724227792425059302e-02
-1.335671342685371243e+00,-3.644650256521112658e-02
-1.295591182364729477e+00,3.658548022055168464e-02
-1.255511022044087710e+00,5.456457229285072152e-02
-1.215430861723446831e+00,-1.454221149117607657e-02
-1.175350701402805953e+00,9.914273146726132468e-03
-1.135270541082164186e+00,-5.018402962258372568e-02
-1.095190380761523308e+00,1.763617117411565849e-02
-1.055110220440882429e+00,7.128420980673309815e-02
-1.015030060120240663e+00,-2.839150885495988694e-02
-9.749498997995988958e-01,-1.879704053364049388e-02
-9.348697394789580173e-01,-3.040501996403739606e-03
-8.947895791583171388e-01,2.133650935331755580e-02
-8.547094188376753721e-01,5.641365447621078839e-03
-8.146292585170336054e-01,2.570050579989009709e-02
-7.745490981963927268e-01,8.340556243748445744e-03
-7.344689378757518483e-01,8.878538536972516160e-02
-6.943887775551100816e-01,-4.026647292754943937e-03
-6.543086172344692031e-01,-1.555403207289817943e-02
-6.142284569138283246e-01,-5.088426130887059584e-02
-5.741482965931865579e-01,8.843080616824976203e-02
-5.340681362725447912e-01,-5.777638565756756245e-02
-4.939879759519039126e-01,5.280070099875619483e-02
-4.539078156312630341e-01,-7.417795068460394936e-02
-4.138276553106212674e-01,-7.905365830936858518e-02
-3.737474949899795007e-01,7.156788044831857709e-02
-3.336673346693386222e-01,5.478628662587018382e-03
-2.935871743486977437e-01,-5.098233884293325996e-02
-2.535070140280559770e-01,4.086383633792910891e-02
-2.134268537074150984e-01,5.658234551801194501e-02
-1.733466933867742199e-01,3.375975489857984541e-02
-1.332665330661324532e-01,-3.655343262830156731e-02
-9.318637274549068650e-02,-1.573398903775434510e-02
-5.310621242484980797e-02,5.129737490809950506e-02
-1.302605210420892945e-02,-1.701797828518017766e-02
2.705410821643283725e-02,2.733654408431926766e-02
6.713426853707460396e-02,5.680160187181482190e-03
1.072144288577154825e-01,4.802110267842700508e-02
1.472945891783563610e-01,5.502752988287899771e-02
1.873747494989981277e-01,-1.623342806721363163e-02
2.274549098196390062e-01,8.944363849733404093e-02
2.675350701402798848e-01,2.825358588347353078e-03
3.076152304609216515e-01,6.428607035533048797e-02
3.476953907815634182e-01,-1.749287258705643430e-02
3.877755511022042967e-01,8.160550955607126511e-02
4.278557114228451752e-01,-1.875610236382778753e-02
4.679358717434869419e-01,-2.104704968325395859e-02
5.080160320641278204e-01,3.666985566459735058e-02
5.480961923847695871e-01,3.223833365756945818e-02
5.881763527054104657e-01,-1.818278675056701765e-02
6.282565130260522324e-01,-9.537187250111862913e-02
6.683366733466931109e-01,-7.723524838833396855e-02
7.084168336673348776e-01,-1.195605073568706093e-02
7.484969939879757561e-01,3.177942483362132531e-02
7.885771543086166346e-01,6.621692499135585497e-02
8.286573146292584013e-01,-1.741077565882433870e-02
8.687374749498992799e-01,5.122578929571984518e-03
9.088176352705410466e-01,-4.268214885460550057e-02
9.488977955911819251e-01,-7.092751880049116830e-02
9.889779559118236918e-01,2.928156986764090391e-02
1.029058116232464570e+00,-3.774693819785204102e-02
1.069138276553106337e+00,-1.019384453053533146e-01
1.109218436873747216e+00,-6.507680792486281174e-02
1.149298597194388982e+00,1.469519813315730943e-02
1.189378757515029861e+00,-7.881551395053981723e-02
1.229458917835670739e+00,9.367368672277659805e-03
1.269539078156312506e+00,1.890078410695796365e-02
1.309619238476953385e+00,-5.253021859136768751e-03
1.349699398797595151e+00,-2.053978569652903721e-02
1.389779559118236030e+00,1.484226249872039501e-02
1.429859719438877796e+00,1.519504687857247544e-02
1.469939879759518675e+00,-4.178956938243489141e-03
1.510020040080160442e+00,2.817984582178151634e-02
1.550100200400801320e+00,3.213091505191347647e-02
1.590180360721443087e+00,3.737896263676918074e-02
1.630260521042083965e+00,1.077678475139981495e-01
1.670340681362724844e+00,2.072339047031277609e-02
1.710420841683366611e+00,-1.171656666262574538e-02
1.750501002004007489e+00,-2.638224504655886302e-02
1.790581162324649256e+00,1.269505182211150274e-02
1.830661322645290134e+00,7.374253988678200478e-02
1.870741482965931901e+00,5.033557015605848173e-02
1.910821643286572780e+00,-1.656007799115696063e-03
1.950901803607214546e+00,-1.612433201023795947e-04
1.990981963927855425e+00,3.671858563656397317e-02
2.031062124248497192e+00,3.869236139234798894e-02
2.071142284569138070e+00,-5.760096489610073978e-02
2.111222444889778949e+00,-1.441526501824403998e-02
2.151302605210420715e+00,-2.483779409680585137e-02
2.191382765531061594e+00,-7.443595704957559067e-02
2.231462925851703361e+00,1.220892291957469816e-02
2.271543086172344239e+00,7.924938479381439527e-02
2.311623246492986006e+00,6.759762779384488607e-02
2.351703406813626884e+00,-7.410111885532086329e-02
2.391783567134268651e+00,2.924443936554992768e-02
2.431863727454909530e+00,1.321910427694930612e-03
2.471943887775551296e+00,1.261544154186707532e-02
2.512024048096192175e+00,5.384467015123550054e-02
2.552104208416833053e+00,-8.874858368487816007e-02
2.592184368737474820e+00,1.415303832949754356e-02
2.632264529058115698e+00,4.136417229978726906e-03
2.672344689378757465e+00,9.303982918162037596e-02
2.712424849699398344e+00,4.729296690846802181e-02
2.752505010020040110e+00,1.233523355505127157e-02
2.792585170340680989e+00,5.898282079519071713e-02
2.832665330661322756e+00,-5.232203317288424554e-02
2.872745490981963634e+00,5.942616395452266810e-03
2.912825651302604513e+00,-1.146898587257683816e-02
2.952905811623246279e+00,3.146072552204207465e-03
2.992985971943887158e+00,2.585030040560624270e-02
3.033066132264528925e+00,-2.405586907584490730e-02
3.073146292585169803e+00,1.229849088847707883e-02
